BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-12-06 16:55:14.612216,Pass,Successful Run,2021-12-06 16:55:15.011220,0.399004,91
d_customer.py,2021-12-06 16:55:14,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-12-06 16:55:14,0,0
d_naics.py,2021-12-06 16:55:19.683036,Pass,Successful Run,2021-12-06 16:55:40.438283,20.755247,1276
d_psc.py,2021-12-06 16:55:40.454283,Pass,Successful Run,2021-12-06 16:55:59.576599,19.122316,3122
f_advantage.py,2021-12-06 16:55:59.587601,Pass,Successful Run,2021-12-06 16:56:01.722529,2.134928,3014302
f_budget_authority.py,2021-12-06 16:56:01.732530,Pass,Successful Run,2021-12-06 16:56:02.785483,1.052953,199550
f_budget_outlays.py,2021-12-06 16:56:02.793493,Pass,Successful Run,2021-12-06 16:56:03.600455,0.806962,205250
f_budget_receipts.py,2021-12-06 16:56:03.609463,Pass,Successful Run,2021-12-06 16:56:04.025415,0.415952,12600
f_campaign.py,2021-12-06 16:56:04.034423,Pass,Successful Run,2021-12-06 16:56:12.464119,8.429696,26741690
f_case.py,2021-12-06 16:56:12.474135,Pass,Successful Run,2021-12-06 16:56:15.020064,2.545929,1987626
f_ebuy.py,2021-12-06 16:56:15.030029,Pass,Successful Run,2021-12-06 16:56:20.944849,5.91482,112567
f_eloqua_emailclick.py,2021-12-06 16:56:20.953852,Pass,Successful Run,2021-12-06 16:56:21.826811,0.872959,243379
f_eloqua_emailopen.py,2021-12-06 16:56:21.835813,Pass,Successful Run,2021-12-06 16:56:23.977740,2.141927,4608235
f_eloqua_emailsend.py,2021-12-06 16:56:23.986741,Pass,Successful Run,2021-12-06 16:56:28.701560,4.714819,17089466
f_eloqua_pageview.py,2021-12-06 16:56:28.710561,Pass,Successful Run,2021-12-06 16:56:31.188449,2.477888,3150654
f_eloqua_webvisit.py,2021-12-06 16:56:31.201451,Pass,Successful Run,2021-12-06 16:56:32.641414,1.439963,1068042
f_opportunity.py,2021-12-06 16:56:32.651416,Pass,Successful Run,2021-12-06 16:56:33.418377,0.766961,39121
f_survey.py,2021-12-06 16:56:33.429381,Pass,Successful Run,2021-12-06 16:56:35.463307,2.033926,1283413
s_fpds_obligations.py,2021-12-06 16:56:35.472308,Pass,Successful Run,2021-12-06 16:57:17.496802,42.024494,7029885
