Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-11-22 15:26:27.917737,Pass,Successful Run,2021-11-22 15:27:03.322936,35.405199,1,18
eloqua_bounceback.py,2021-11-22 15:27:03.338567,Pass,Successful Run,2021-11-22 15:27:20.338075,16.999508,0,4
eloqua_contacts.py,2021-11-22 15:27:20.338075,Pass,Successful Run,2021-11-22 15:27:40.665619,20.327544,206,400
eloqua_emailclickthrough.py,2021-11-22 15:27:40.681249,Pass,Successful Run,2021-11-22 15:28:15.149010,34.467761,0,178
eloqua_emailopen.py,2021-11-22 15:28:15.164642,Pass,Successful Run,2021-11-22 15:28:56.350944,41.186302,0,7219
eloqua_emailsend.py,2021-11-22 15:28:56.366574,Pass,Successful Run,2021-11-22 15:29:34.849846,38.483272,0,16255
eloqua_formsubmit.py,2021-11-22 15:29:34.865469,Pass,Successful Run,2021-11-22 15:30:08.239482,33.374013,0,170
eloqua_pageview.py,2021-11-22 15:30:08.255109,Pass,Successful Run,2021-11-22 15:30:29.953056,21.697947,0,1278
eloqua_subscribe.py,2021-11-22 15:30:29.970057,Pass,Successful Run,2021-11-22 15:30:50.128890,20.158833,0,164
eloqua_unsubscribe.py,2021-11-22 15:30:50.144515,Pass,Successful Run,2021-11-22 15:30:55.144372,4.999857,0,164
eloqua_webvisit.py,2021-11-22 15:30:55.159996,Pass,Successful Run,2021-11-22 15:31:19.456187,24.296191,0,537
salesforce_account.py,2021-11-22 15:31:19.799936,Pass,Successful Run,2021-11-22 15:32:24.563673,64.763737,99,85
salesforce_campaign.py,2021-11-22 15:32:24.579304,Pass,Successful Run,2021-11-22 15:32:45.297439,20.718135,331,35
salesforce_campaignmember.py,2021-11-22 15:32:45.297439,Pass,Successful Run,2021-11-22 15:33:24.907208,39.609769,2505,16415
salesforce_case.py,2021-11-22 15:33:24.907208,Pass,Successful Run,2021-11-22 15:34:09.296525,44.389317,8854,2653
salesforce_contact.py,2021-11-22 15:34:09.296525,Pass,Successful Run,2021-11-22 15:34:55.357718,46.061193,9938,670
salesforce_event.py,2021-11-22 15:34:55.357718,Pass,Successful Run,2021-11-22 15:35:42.293864,46.936146,161,299
salesforce_lead.py,2021-11-22 15:35:42.309489,Pass,Successful Run,2021-11-22 15:36:11.183662,28.874173,1410,409
salesforce_opportunity.py,2021-11-22 15:36:11.199285,Pass,Successful Run,2021-11-22 15:37:13.494391,62.295106,779,69
salesforce_recordtype.py,2021-11-22 15:37:13.510019,Pass,Successful Run,2021-11-22 15:37:31.212625,17.702606,116,0
salesforce_task.py,2021-11-22 15:37:31.212625,Pass,Successful Run,2021-11-22 15:38:00.930550,29.717925,1614,11026
salesforce_user.py,2021-11-22 15:38:00.930550,Pass,Successful Run,2021-11-22 15:40:29.395029,148.464479,128602,175
