Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-11-23 17:05:10.380493,Pass,Successful Run,2021-11-23 17:05:17.552121,7.171628,115,27
eloqua_bounceback.py,2021-11-23 17:05:17.567749,Pass,Successful Run,2021-11-23 17:05:27.301770,9.734021,0,21
eloqua_contacts.py,2021-11-23 17:05:27.317397,Pass,Successful Run,2021-11-23 17:05:37.363919,10.046522,897,314
eloqua_emailclickthrough.py,2021-11-23 17:05:37.363919,Pass,Successful Run,2021-11-23 17:05:47.926066,10.562147,168,368
eloqua_emailopen.py,2021-11-23 17:05:47.926066,Pass,Successful Run,2021-11-23 17:06:20.503018,32.576952,6905,13363
eloqua_emailsend.py,2021-11-23 17:06:20.518649,Pass,Successful Run,2021-11-23 17:07:21.782119,61.26347,16226,38665
eloqua_formsubmit.py,2021-11-23 17:07:21.797739,Pass,Successful Run,2021-11-23 17:07:33.562937,11.765198,147,239
eloqua_pageview.py,2021-11-23 17:07:33.578562,Pass,Successful Run,2021-11-23 17:07:46.624982,13.04642,1202,2437
eloqua_subscribe.py,2021-11-23 17:07:46.640604,Pass,Successful Run,2021-11-23 17:07:51.952933,5.312329,140,257
eloqua_unsubscribe.py,2021-11-23 17:07:51.968554,Pass,Successful Run,2021-11-23 17:07:57.171461,5.202907,140,257
eloqua_webvisit.py,2021-11-23 17:07:57.171461,Pass,Successful Run,2021-11-23 17:08:04.749348,7.577887,512,838
salesforce_account.py,2021-11-23 17:08:05.093096,Pass,Successful Run,2021-11-23 17:08:11.030383,5.937287,261,23
salesforce_campaign.py,2021-11-23 17:08:11.047540,Pass,Successful Run,2021-11-23 17:08:16.905172,5.857632,325,4
salesforce_campaignmember.py,2021-11-23 17:08:16.905172,Pass,Successful Run,2021-11-23 17:09:12.590713,55.685541,21324,24563
salesforce_case.py,2021-11-23 17:09:12.590713,Pass,Successful Run,2021-11-23 17:09:36.293140,23.702427,10904,637
salesforce_contact.py,2021-11-23 17:09:36.293140,Pass,Successful Run,2021-11-23 17:10:06.292258,29.999118,10452,174
salesforce_event.py,2021-11-23 17:10:06.292258,Pass,Successful Run,2021-11-23 17:10:20.463732,14.171474,325,41
salesforce_lead.py,2021-11-23 17:10:20.479363,Pass,Successful Run,2021-11-23 17:10:26.307305,5.827942,1644,118
salesforce_opportunity.py,2021-11-23 17:10:26.322929,Pass,Successful Run,2021-11-23 17:10:35.088326,8.765397,841,16
salesforce_recordtype.py,2021-11-23 17:10:35.103951,Pass,Successful Run,2021-11-23 17:10:42.572466,7.468515,116,1
salesforce_task.py,2021-11-23 17:10:42.588090,Pass,Successful Run,2021-11-23 17:10:58.009536,15.421446,9555,3008
salesforce_user.py,2021-11-23 17:10:58.025159,Pass,Successful Run,2021-11-23 17:13:01.431441,123.406282,128735,57
