Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-10-04 21:46:20.789333,Pass,Successful Run,2021-10-04 21:46:40.132536,19.343203,2,14
eloqua_bounceback.py,2021-10-04 21:46:40.163787,Pass,Successful Run,2021-10-04 21:46:57.991389,17.827602,0,74
eloqua_contacts.py,2021-10-04 21:46:58.007013,Pass,Successful Run,2021-10-04 21:47:14.162803,16.15579,458,672
eloqua_emailclickthrough.py,2021-10-04 21:47:14.178431,Pass,Successful Run,2021-10-04 21:47:33.740343,19.561912,0,260
eloqua_emailopen.py,2021-10-04 21:47:33.755967,Pass,Successful Run,2021-10-04 21:48:03.801973,30.046006,0,13283
eloqua_emailsend.py,2021-10-04 21:48:03.817600,Pass,Successful Run,2021-10-04 21:49:05.050213,61.232613,0,51045
eloqua_formsubmit.py,2021-10-04 21:49:05.065836,Pass,Successful Run,2021-10-04 21:49:21.643575,16.577739,0,177
eloqua_pageview.py,2021-10-04 21:49:21.659157,Pass,Successful Run,2021-10-04 21:49:37.986908,16.327751,0,1097
eloqua_subscribe.py,2021-10-04 21:49:38.002534,Pass,Successful Run,2021-10-04 21:49:52.892805,14.890271,0,350
eloqua_unsubscribe.py,2021-10-04 21:49:52.908431,Pass,Successful Run,2021-10-04 21:49:58.283319,5.374888,0,350
eloqua_webvisit.py,2021-10-04 21:49:58.298948,Pass,Successful Run,2021-10-04 21:50:16.548526,18.249578,0,442
salesforce_account.py,2021-10-04 21:50:17.017242,Pass,Successful Run,2021-10-04 21:50:27.438892,10.42165,100,27
salesforce_campaign.py,2021-10-04 21:50:27.454518,Pass,Successful Run,2021-10-04 21:50:49.625873,22.171355,273,21
salesforce_campaignmember.py,2021-10-04 21:50:49.641499,Pass,Successful Run,2021-10-04 21:52:03.030378,73.388879,3299,39437
salesforce_case.py,2021-10-04 21:52:03.030378,Pass,Successful Run,2021-10-04 21:52:40.732599,37.702221,10286,1238
salesforce_contact.py,2021-10-04 21:52:40.748221,Pass,Successful Run,2021-10-04 21:53:04.497699,23.749478,9488,247
salesforce_event.py,2021-10-04 21:53:04.513322,Pass,Successful Run,2021-10-04 21:53:27.309647,22.796325,401,319
salesforce_lead.py,2021-10-04 21:53:27.309647,Pass,Successful Run,2021-10-04 21:53:38.434392,11.124745,842,190
salesforce_opportunity.py,2021-10-04 21:53:38.450021,Pass,Successful Run,2021-10-04 21:55:35.853480,117.403459,46928,5946
salesforce_recordtype.py,2021-10-04 21:55:35.869103,Pass,Successful Run,2021-10-04 21:55:52.306232,16.437129,116,0
salesforce_task.py,2021-10-04 21:55:52.321857,Pass,Successful Run,2021-10-04 21:56:30.133458,37.811601,10329,7058
salesforce_user.py,2021-10-04 21:56:30.149085,Pass,Successful Run,2021-10-04 21:58:57.614383,147.465298,126825,73
