BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-11-01 17:41:18.324277,Pass,Successful Run,2021-11-01 17:41:18.828288,0.504011,91
d_customer.py,2021-11-01 17:41:18,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-11-01 17:41:18,0,0
d_naics.py,2021-11-01 17:41:22.275190,Pass,Successful Run,2021-11-01 17:41:33.125933,10.850743,1276
d_psc.py,2021-11-01 17:41:33.136928,Pass,Successful Run,2021-11-01 17:41:47.527612,14.390684,3123
f_advantage.py,2021-11-01 17:41:47.540613,Pass,Successful Run,2021-11-01 17:41:51.191511,3.650898,3129636
f_budget_authority.py,2021-11-01 17:41:51.202511,Pass,Successful Run,2021-11-01 17:41:51.635519,0.433008,199550
f_budget_outlays.py,2021-11-01 17:41:51.644488,Pass,Successful Run,2021-11-01 17:41:52.013484,0.368996,205250
f_budget_receipts.py,2021-11-01 17:41:52.022493,Pass,Successful Run,2021-11-01 17:41:52.233490,0.210997,12600
f_campaign.py,2021-11-01 17:41:52.245491,Pass,Successful Run,2021-11-01 17:41:58.529356,6.283865,26357329
f_case.py,2021-11-01 17:41:58.537364,Pass,Successful Run,2021-11-01 17:41:59.777338,1.239974,1986818
f_ebuy.py,2021-11-01 17:41:59.786346,Pass,Successful Run,2021-11-01 17:42:00.080304,0.293958,85303
f_eloqua_emailclick.py,2021-11-01 17:42:00.089304,Pass,Successful Run,2021-11-01 17:42:00.605314,0.51601,235317
f_eloqua_emailopen.py,2021-11-01 17:42:00.615318,Pass,Successful Run,2021-11-01 17:42:02.136256,1.520938,4374337
f_eloqua_emailsend.py,2021-11-01 17:42:02.146264,Pass,Successful Run,2021-11-01 17:42:06.100166,3.953902,16305918
f_eloqua_pageview.py,2021-11-01 17:42:06.113167,Pass,Successful Run,2021-11-01 17:42:07.856157,1.74299,3102866
f_eloqua_webvisit.py,2021-11-01 17:42:07.870158,Pass,Successful Run,2021-11-01 17:42:08.653127,0.782969,1049667
f_opportunity.py,2021-11-01 17:42:08.662129,Pass,Successful Run,2021-11-01 17:42:08.968092,0.305963,37851
f_survey.py,2021-11-01 17:42:08.981095,Pass,Successful Run,2021-11-01 17:42:09.804114,0.823019,1283413
s_fpds_obligations.py,2021-11-01 17:42:09.819111,Pass,Successful Run,2021-11-01 17:42:39.797364,29.978253,6913596
