BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
a_drop_views.py,2021-12-16 17:32:08.945157,Pass,Successful Run,2021-12-16 17:32:11.663875,2.718718,0
d_agency.py,2021-12-16 17:32:11.663875,Pass,Successful Run,2021-12-16 17:32:12.492008,0.828133,91
d_customer.py,2021-12-16 17:32:12.492008,Pass,Successful Run,2021-12-16 17:32:17.570081,5.078073,1323201
d_naics.py,2021-12-16 17:32:17.585713,Pass,Successful Run,2021-12-16 17:32:27.819959,10.234246,1276
d_psc.py,2021-12-16 17:32:27.835591,Pass,Successful Run,2021-12-16 17:32:40.851080,13.015489,3122
d_region.py,2021-12-16 17:32:40.851080,Pass,Successful Run,2021-12-16 17:32:41.835444,0.984364,11
f_advantage.py,2021-12-16 17:32:41.835444,Pass,Successful Run,2021-12-16 17:32:44.429181,2.593737,3020615
f_budget_authority.py,2021-12-16 17:32:44.429181,Pass,Successful Run,2021-12-16 17:32:45.913531,1.48435,199550
f_budget_outlays.py,2021-12-16 17:32:45.913531,Pass,Successful Run,2021-12-16 17:32:47.366647,1.453116,205250
f_budget_receipts.py,2021-12-16 17:32:47.382276,Pass,Successful Run,2021-12-16 17:32:48.226011,0.843735,12600
f_campaign.py,2021-12-16 17:32:48.226011,Pass,Successful Run,2021-12-16 17:32:58.522789,10.296778,26916740
f_case.py,2021-12-16 17:32:58.538419,Pass,Successful Run,2021-12-16 17:33:01.585259,3.04684,2005124
f_ebuy.py,2021-12-16 17:33:01.600884,Pass,Successful Run,2021-12-16 17:33:02.803978,1.203094,112567
f_eloqua_emailclick.py,2021-12-16 17:33:02.803978,Pass,Successful Run,2021-12-16 17:33:04.178970,1.374992,246727
f_eloqua_emailopen.py,2021-12-16 17:33:04.194597,Pass,Successful Run,2021-12-16 17:33:07.241444,3.046847,4734037
f_eloqua_emailsend.py,2021-12-16 17:33:07.257074,Pass,Successful Run,2021-12-16 17:33:13.507012,6.249938,17519296
f_eloqua_pageview.py,2021-12-16 17:33:13.522635,Pass,Successful Run,2021-12-16 17:33:16.397599,2.874964,3185575
f_eloqua_webvisit.py,2021-12-16 17:33:16.413230,Pass,Successful Run,2021-12-16 17:33:18.397586,1.984356,1080225
f_opportunity.py,2021-12-16 17:33:18.413212,Pass,Successful Run,2021-12-16 17:33:19.444451,1.031239,39693
f_survey.py,2021-12-16 17:33:19.475704,Pass,Successful Run,2021-12-16 17:33:21.772535,2.296831,1283413
s_fpds_obligations.py,2021-12-16 17:33:21.772535,Pass,Successful Run,2021-12-16 17:33:55.551945,33.77941,2776233
v_agency.py,2021-12-16 17:33:55.553948,Pass,Successful Run,2021-12-16 17:34:02.037755,6.483807,33306
v_customer.py,2021-12-16 17:34:02.053384,Pass,Successful Run,2021-12-16 17:34:41.568612,39.515228,18971061
v_region.py,2021-12-16 17:34:41.568612,Pass,Successful Run,2021-12-16 17:34:51.177877,9.609265,4026
