BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-11-04 16:33:20.652976,Pass,Successful Run,2021-11-04 16:33:20.873979,0.221003,91
d_customer.py,2021-11-04 16:33:20,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-11-04 16:33:20,0,0
d_naics.py,2021-11-04 16:33:24.229904,Pass,Successful Run,2021-11-04 16:33:34.995709,10.765805,1276
d_psc.py,2021-11-04 16:33:35.009710,Pass,Successful Run,2021-11-04 16:33:46.713536,11.703826,3122
f_advantage.py,2021-11-04 16:33:46.722539,Pass,Successful Run,2021-11-04 16:33:47.607508,0.884969,3129636
f_budget_authority.py,2021-11-04 16:33:47.619511,Pass,Successful Run,2021-11-04 16:33:48.008443,0.388932,199550
f_budget_outlays.py,2021-11-04 16:33:48.016479,Pass,Successful Run,2021-11-04 16:33:48.347479,0.331,205250
f_budget_receipts.py,2021-11-04 16:33:48.357485,Pass,Successful Run,2021-11-04 16:33:48.550483,0.192998,12600
f_campaign.py,2021-11-04 16:33:48.562485,Pass,Successful Run,2021-11-04 16:33:54.736348,6.173863,26357329
f_case.py,2021-11-04 16:33:54.745355,Pass,Successful Run,2021-11-04 16:33:55.975294,1.229939,1986818
f_ebuy.py,2021-11-04 16:33:55.984291,Pass,Successful Run,2021-11-04 16:33:56.251241,0.26695,85303
f_eloqua_emailclick.py,2021-11-04 16:33:56.259299,Pass,Successful Run,2021-11-04 16:33:56.775302,0.516003,239312
f_eloqua_emailopen.py,2021-11-04 16:33:56.785306,Pass,Successful Run,2021-11-04 16:33:58.225246,1.43994,4471741
f_eloqua_emailsend.py,2021-11-04 16:33:58.235248,Pass,Successful Run,2021-11-04 16:34:01.976148,3.7409,16759019
f_eloqua_pageview.py,2021-11-04 16:34:01.985156,Pass,Successful Run,2021-11-04 16:34:03.665139,1.679983,3120641
f_eloqua_webvisit.py,2021-11-04 16:34:03.675141,Pass,Successful Run,2021-11-04 16:34:04.455115,0.779974,1057127
f_opportunity.py,2021-11-04 16:34:04.463120,Pass,Successful Run,2021-11-04 16:34:04.735117,0.271997,37851
f_survey.py,2021-11-04 16:34:04.744121,Pass,Successful Run,2021-11-04 16:34:05.504089,0.759968,1283413
s_fpds_obligations.py,2021-11-04 16:34:05.512092,Pass,Successful Run,2021-11-04 16:34:33.351444,27.839352,6935770
