BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
a_drop_views.py,2021-12-15 18:09:48.977098,Pass,Successful Run,2021-12-15 18:09:51.943042,2.965944,0
d_agency.py,2021-12-15 18:09:51.944042,Pass,Successful Run,2021-12-15 18:09:52.735024,0.790982,91
d_customer.py,2021-12-15 18:09:52.736025,Pass,Successful Run,2021-12-15 18:09:57.993933,5.257908,1322813
d_naics.py,2021-12-15 18:09:57.994935,Pass,Successful Run,2021-12-15 18:10:08.437735,10.4428,1276
d_psc.py,2021-12-15 18:10:08.438737,Pass,Successful Run,2021-12-15 18:10:20.986517,12.54778,3122
d_region.py,2021-12-15 18:10:20.987518,Pass,Successful Run,2021-12-15 18:10:21.886505,0.898987,11
f_advantage.py,2021-12-15 18:10:21.887504,Pass,Successful Run,2021-12-15 18:10:24.394445,2.506941,3020615
f_budget_authority.py,2021-12-15 18:10:24.394445,Pass,Successful Run,2021-12-15 18:10:25.763428,1.368983,199550
f_budget_outlays.py,2021-12-15 18:10:25.764428,Pass,Successful Run,2021-12-15 18:10:27.092409,1.327981,205250
f_budget_receipts.py,2021-12-15 18:10:27.093411,Pass,Successful Run,2021-12-15 18:10:28.443376,1.349965,12600
f_campaign.py,2021-12-15 18:10:28.444374,Pass,Successful Run,2021-12-15 18:10:38.145217,9.700843,26840365
f_case.py,2021-12-15 18:10:38.146213,Pass,Successful Run,2021-12-15 18:10:41.033156,2.886943,2004299
f_ebuy.py,2021-12-15 18:10:41.034157,Pass,Successful Run,2021-12-15 18:10:42.220137,1.18598,112567
f_eloqua_emailclick.py,2021-12-15 18:10:42.220137,Pass,Successful Run,2021-12-15 18:10:43.903105,1.682968,246287
f_eloqua_emailopen.py,2021-12-15 18:10:43.904103,Pass,Successful Run,2021-12-15 18:10:46.601048,2.696945,4718139
f_eloqua_emailsend.py,2021-12-15 18:10:46.601048,Pass,Successful Run,2021-12-15 18:10:53.470936,6.869888,17446778
f_eloqua_pageview.py,2021-12-15 18:10:53.471937,Pass,Successful Run,2021-12-15 18:10:56.427903,2.955966,3179815
f_eloqua_webvisit.py,2021-12-15 18:10:56.428903,Pass,Successful Run,2021-12-15 18:10:58.269897,1.840994,1078383
f_opportunity.py,2021-12-15 18:10:58.270898,Pass,Successful Run,2021-12-15 18:10:59.304886,1.033988,39609
f_survey.py,2021-12-15 18:10:59.305885,Pass,Successful Run,2021-12-15 18:11:01.773857,2.467972,1283413
s_fpds_obligations.py,2021-12-15 18:11:01.775853,Pass,Successful Run,2021-12-15 18:11:27.412566,25.636713,7029885
v_agency.py,2021-12-15 18:11:27.412566,Pass,Successful Run,2021-12-15 18:11:29.120559,1.707993,33306
v_customer.py,2021-12-15 18:11:29.121561,Pass,Successful Run,2021-12-15 18:12:06.856146,37.734585,18897189
