Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-12-03 10:49:56.733816,Pass,Successful Run,2021-12-03 10:50:03.733623,6.999807,21,103
eloqua_bounceback.py,2021-12-03 10:49:55,Fail,'items',2021-12-03 10:49:55,0,0,0
eloqua_contacts.py,2021-12-03 10:50:06.717909,Pass,Successful Run,2021-12-03 10:50:23.720147,17.002238,2098,1257
eloqua_emailclickthrough.py,2021-12-03 10:50:23.733050,Pass,Successful Run,2021-12-03 10:50:39.810724,16.077674,195,1239
eloqua_emailopen.py,2021-12-03 10:50:39.810724,Pass,Successful Run,2021-12-03 10:53:05.181609,145.370885,7849,44013
eloqua_emailsend.py,2021-12-03 10:53:05.181609,Pass,Successful Run,2021-12-03 10:56:57.925498,232.743889,4723,112845
eloqua_formsubmit.py,2021-12-03 10:56:57.925498,Pass,Successful Run,2021-12-03 10:57:19.534245,21.608747,245,2285
eloqua_pageview.py,2021-12-03 10:57:19.534245,Pass,Successful Run,2021-12-03 10:58:00.345373,40.811128,1153,14369
eloqua_subscribe.py,2021-12-03 10:58:00.345373,Pass,Successful Run,2021-12-03 10:58:09.516931,9.171558,103,1087
eloqua_unsubscribe.py,2021-12-03 10:58:09.532556,Pass,Successful Run,2021-12-03 10:58:14.766753,5.234197,103,1087
eloqua_webvisit.py,2021-12-03 10:58:14.782381,Pass,Successful Run,2021-12-03 10:59:42.873019,88.090638,530,4895
salesforce_account.py,2021-12-03 10:59:43.232398,Pass,Successful Run,2021-12-03 10:59:51.341447,8.109049,64,104
salesforce_campaign.py,2021-12-03 10:59:51.357072,Pass,Successful Run,2021-12-03 10:59:55.794434,4.437362,177,24
salesforce_campaignmember.py,2021-12-03 10:59:55.810059,Pass,Successful Run,2021-12-03 11:00:54.745473,58.935414,5355,15989
salesforce_case.py,2021-12-03 11:00:54.761097,Pass,Successful Run,2021-12-03 11:01:24.041326,29.280229,5523,2738
salesforce_contact.py,2021-12-03 11:01:24.041326,Pass,Successful Run,2021-12-03 11:02:45.475920,81.434594,14842,573
salesforce_event.py,2021-12-03 11:02:45.491545,Pass,Successful Run,2021-12-03 11:02:59.662928,14.171383,259,487
salesforce_lead.py,2021-12-03 11:02:59.678552,Pass,Successful Run,2021-12-03 11:03:16.209240,16.530688,5515,542
salesforce_opportunity.py,2021-12-03 11:03:16.224863,Pass,Successful Run,2021-12-03 11:03:27.036977,10.812114,675,85
salesforce_recordtype.py,2021-12-03 11:03:27.036977,Pass,Successful Run,2021-12-03 11:03:34.005478,6.968501,117,0
salesforce_task.py,2021-12-03 11:03:34.021102,Pass,Successful Run,2021-12-03 11:04:23.425582,49.40448,3839,19288
salesforce_user.py,2021-12-03 11:04:23.441205,Pass,Successful Run,2021-12-03 11:09:11.369630,287.928425,123412,138
