Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-09-22 11:17:59.260917,Pass,Successful Run,2021-09-22 11:18:07.240731,7.979814,6,16
eloqua_bounceback.py,2021-09-22 11:18:07.266732,Pass,Successful Run,2021-09-22 11:18:14.016562,6.74983,2,18
eloqua_contacts.py,2021-09-22 11:18:14.030571,Pass,Successful Run,2021-09-22 11:18:24.026332,9.995761,839,234
eloqua_emailclickthrough.py,2021-09-22 11:18:24.063334,Pass,Successful Run,2021-09-22 11:18:29.714233,5.650899,91,106
eloqua_emailopen.py,2021-09-22 11:18:29.735233,Pass,Successful Run,2021-09-22 11:18:47.614811,17.879578,3331,2943
eloqua_emailsend.py,2021-09-22 11:18:47.629812,Pass,Successful Run,2021-09-22 11:19:26.029895,38.400083,10502,8982
eloqua_formsubmit.py,2021-09-22 11:19:26.044898,Pass,Successful Run,2021-09-22 11:19:35.332694,9.287796,82,111
eloqua_pageview.py,2021-09-22 11:19:35.343698,Pass,Successful Run,2021-09-22 11:19:43.916472,8.572774,598,609
eloqua_subscribe.py,2021-09-22 11:19:43.929479,Pass,Successful Run,2021-09-22 11:19:48.868349,4.93887,104,131
eloqua_unsubscribe.py,2021-09-22 11:19:48.882363,Pass,Successful Run,2021-09-22 11:19:53.937243,5.05488,104,131
eloqua_webvisit.py,2021-09-22 11:19:53.952243,Pass,Successful Run,2021-09-22 11:19:59.544137,5.591894,216,235
salesforce_account.py,2021-09-22 11:19:59.967104,Pass,Successful Run,2021-09-22 11:20:04.343018,4.375914,91,20
salesforce_campaign.py,2021-09-22 11:20:04.356021,Pass,Successful Run,2021-09-22 11:20:08.944894,4.588873,149,5
salesforce_campaignmember.py,2021-09-22 11:20:08.977898,Pass,Successful Run,2021-09-22 11:20:39.649213,30.671315,8473,9987
salesforce_case.py,2021-09-22 11:20:39.663212,Pass,Successful Run,2021-09-22 11:21:03.932623,24.269411,7742,654
salesforce_contact.py,2021-09-22 11:21:03.946624,Pass,Successful Run,2021-09-22 11:21:31.592004,27.64538,9249,119
salesforce_event.py,2021-09-22 11:21:31.594005,Pass,Successful Run,2021-09-22 11:21:39.958784,8.364779,211,46
salesforce_lead.py,2021-09-22 11:21:39.973785,Pass,Successful Run,2021-09-22 11:21:45.640683,5.666898,1097,88
salesforce_opportunity.py,2021-09-22 11:21:45.649683,Pass,Successful Run,2021-09-22 11:21:54.098462,8.448779,831,12
salesforce_recordtype.py,2021-09-22 11:21:54.102465,Pass,Successful Run,2021-09-22 11:21:59.384353,5.281888,116,0
salesforce_task.py,2021-09-22 11:21:59.387354,Pass,Successful Run,2021-09-22 11:22:21.340837,21.953483,11609,2932
salesforce_user.py,2021-09-22 11:22:21.342840,Pass,Successful Run,2021-09-22 11:25:00.608154,159.265314,126533,31
