BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-10-21 11:45:29.770394,Pass,Successful Run,2021-10-21 11:45:29.999395,0.229001,91
d_customer.py,2021-10-21 11:45:30.008398,Pass,Successful Run,2021-10-21 11:45:33.053307,3.044909,1417186
d_naics.py,2021-10-21 11:45:33.061309,Pass,Successful Run,2021-10-21 11:45:42.736016,9.674707,1276
d_psc.py,2021-10-21 11:45:42.745020,Pass,Successful Run,2021-10-21 11:45:57.946606,15.201586,3122
f_advantage.py,2021-10-21 11:45:57.954610,Pass,Successful Run,2021-10-21 11:45:58.965574,1.010964,3139079
f_budget_authority.py,2021-10-21 11:45:58.975575,Pass,Successful Run,2021-10-21 11:45:59.288535,0.31296,199550
f_budget_outlays.py,2021-10-21 11:45:59.296537,Pass,Successful Run,2021-10-21 11:45:59.627540,0.331003,205250
f_budget_receipts.py,2021-10-21 11:45:59.635542,Pass,Successful Run,2021-10-21 11:45:59.868543,0.233001,12600
f_campaign.py,2021-10-21 11:45:59.878545,Pass,Successful Run,2021-10-21 11:46:06.231385,6.35284,26383005
f_case.py,2021-10-21 11:46:06.239391,Pass,Successful Run,2021-10-21 11:46:07.473315,1.233924,2006445
f_ebuy.py,2021-10-21 11:46:07.483323,Pass,Successful Run,2021-10-21 11:46:07.776319,0.292996,85389
f_eloqua_emailclick.py,2021-10-21 11:46:07.786326,Pass,Successful Run,2021-10-21 11:46:08.285283,0.498957,235134
f_eloqua_emailopen.py,2021-10-21 11:46:08.294288,Pass,Successful Run,2021-10-21 11:46:09.787266,1.492978,4361217
f_eloqua_emailsend.py,2021-10-21 11:46:09.796274,Pass,Successful Run,2021-10-21 11:46:13.603149,3.806875,16265095
f_eloqua_pageview.py,2021-10-21 11:46:13.612154,Pass,Successful Run,2021-10-21 11:46:15.406091,1.793937,3101526
f_eloqua_webvisit.py,2021-10-21 11:46:15.415098,Pass,Successful Run,2021-10-21 11:46:16.185088,0.76999,1049391
f_opportunity.py,2021-10-21 11:46:16.195106,Pass,Successful Run,2021-10-21 11:46:16.468062,0.272956,37627
f_survey.py,2021-10-21 11:46:16.476064,Pass,Successful Run,2021-10-21 11:46:17.305031,0.828967,1285005
s_fpds_obligations.py,2021-10-21 11:46:17.314032,Pass,Successful Run,2021-10-21 11:46:41.958370,24.644338,6888137
