Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-12-08 13:08:53.358896,Pass,Successful Run,2021-12-08 13:09:01.483665,8.124769,104,73
eloqua_bounceback.py,2021-12-08 13:09:01.499293,Pass,Successful Run,2021-12-08 13:09:11.873961,10.374668,0,126
eloqua_contacts.py,2021-12-08 13:09:11.889591,Pass,Successful Run,2021-12-08 13:09:23.561152,11.671561,3629,474
eloqua_emailclickthrough.py,2021-12-08 13:09:23.576782,Pass,Successful Run,2021-12-08 13:09:33.545236,9.968454,1159,794
eloqua_emailopen.py,2021-12-08 13:09:33.545236,Pass,Successful Run,2021-12-08 13:11:06.307704,92.762468,41717,27878
eloqua_emailsend.py,2021-12-08 13:11:06.323333,Pass,Successful Run,2021-12-08 13:13:50.758174,164.434841,96176,52654
eloqua_formsubmit.py,2021-12-08 13:13:50.770180,Pass,Successful Run,2021-12-08 13:14:11.698465,20.928285,2059,862
eloqua_pageview.py,2021-12-08 13:14:11.703468,Pass,Successful Run,2021-12-08 13:14:47.693173,35.989705,12112,7291
eloqua_subscribe.py,2021-12-08 13:14:47.712174,Pass,Successful Run,2021-12-08 13:14:55.870845,8.158671,981,429
eloqua_unsubscribe.py,2021-12-08 13:14:55.896844,Pass,Successful Run,2021-12-08 13:15:02.791743,6.894899,981,429
eloqua_webvisit.py,2021-12-08 13:15:02.804596,Pass,Successful Run,2021-12-08 13:16:30.983772,88.179176,4148,2478
salesforce_account.py,2021-12-08 13:16:31.358774,Pass,Successful Run,2021-12-08 13:16:41.233486,9.874712,102,71
salesforce_campaign.py,2021-12-08 13:16:41.249114,Pass,Successful Run,2021-12-08 13:16:47.479034,6.22992,197,27
salesforce_campaignmember.py,2021-12-08 13:16:47.494029,Pass,Successful Run,2021-12-08 13:17:46.022261,58.528232,8068,26436
salesforce_case.py,2021-12-08 13:17:46.032263,Pass,Successful Run,2021-12-08 13:18:15.152603,29.12034,9944,1383
salesforce_contact.py,2021-12-08 13:18:15.152603,Pass,Successful Run,2021-12-08 13:18:34.245797,19.093194,4677,303
salesforce_event.py,2021-12-08 13:18:34.261426,Pass,Successful Run,2021-12-08 13:18:43.714297,9.452871,303,125
salesforce_lead.py,2021-12-08 13:18:43.714297,Pass,Successful Run,2021-12-08 13:18:49.604738,5.890441,1008,172
salesforce_opportunity.py,2021-12-08 13:18:49.620365,Pass,Successful Run,2021-12-08 13:19:00.260670,10.640305,628,41
salesforce_recordtype.py,2021-12-08 13:19:00.276289,Pass,Successful Run,2021-12-08 13:19:04.323052,4.046763,118,0
salesforce_task.py,2021-12-08 13:19:04.338679,Pass,Successful Run,2021-12-08 13:19:25.291181,20.952502,8953,6649
salesforce_user.py,2021-12-08 13:19:25.306805,Pass,Successful Run,2021-12-08 13:21:48.661993,143.355188,124135,73
