Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-12-27 16:47:46.117856,Pass,Successful Run,2021-12-27 16:47:52.039692,5.921836,565,0
eloqua_bounceback.py,2021-12-27 16:47:46,Fail,"(psycopg2.errors.DuplicateTable) relation ""t_eloqua_bounceback"" already exists

[SQL: CREATE TABLE customer360.t_eloqua_bounceback AS (SELECT * FROM customer360.s_eloqua_bounceback WHERE 1=2);]
(Background on this error at: http://sqlalche.me/e/f405)",2021-12-27 16:47:46,0,0,0
eloqua_contacts.py,2021-12-27 16:47:46,Fail,"(psycopg2.errors.DuplicateTable) relation ""t_eloqua_contacts"" already exists

[SQL: CREATE TABLE customer360.t_eloqua_contacts AS (SELECT * FROM customer360.s_eloqua_contacts WHERE 1=2);]
(Background on this error at: http://sqlalche.me/e/f405)",2021-12-27 16:47:46,0,0,0
eloqua_emailclickthrough.py,2021-12-27 16:48:00.431457,Pass,Successful Run,2021-12-27 16:48:06.727115,6.295658,668,11
eloqua_emailopen.py,2021-12-27 16:48:07.602104,Pass,Successful Run,2021-12-27 16:48:38.055031,30.452927,20545,167
eloqua_emailsend.py,2021-12-27 16:48:38.836271,Pass,Successful Run,2021-12-27 16:49:33.226552,54.390281,45409,510
eloqua_formsubmit.py,2021-12-27 16:49:34.085922,Pass,Successful Run,2021-12-27 16:49:47.320403,13.234481,976,17
eloqua_pageview.py,2021-12-27 16:47:46,Fail,"(psycopg2.errors.DuplicateTable) relation ""t_eloqua_pageview"" already exists

[SQL: CREATE TABLE customer360.t_eloqua_pageview AS (SELECT * FROM customer360.s_eloqua_pageview WHERE 1=2);]
(Background on this error at: http://sqlalche.me/e/f405)",2021-12-27 16:47:46,0,0,0
eloqua_subscribe.py,2021-12-27 16:49:52.773299,Pass,Successful Run,2021-12-27 16:49:58.788889,6.01559,792,23
eloqua_unsubscribe.py,2021-12-27 16:49:59.617021,Pass,Successful Run,2021-12-27 16:50:04.616990,4.999969,792,23
eloqua_webvisit.py,2021-12-27 16:50:05.413899,Pass,Successful Run,2021-12-27 16:51:15.882118,70.468219,2835,110
salesforce_account.py,2021-12-27 16:51:17.085236,Pass,Successful Run,2021-12-27 16:51:22.477995,5.392759,559,2
salesforce_campaign.py,2021-12-27 16:51:23.319547,Pass,Successful Run,2021-12-27 16:51:27.256998,3.937451,94,0
salesforce_campaignmember.py,2021-12-27 16:51:28.116746,Pass,Successful Run,2021-12-27 16:51:34.913156,6.79641,1106,33
salesforce_case.py,2021-12-27 16:51:35.647537,Pass,Successful Run,2021-12-27 16:51:49.350504,13.702967,6651,123
salesforce_contact.py,2021-12-27 16:51:50.100491,Pass,Successful Run,2021-12-27 16:52:19.523209,29.422718,8178,12
salesforce_event.py,2021-12-27 16:52:20.485195,Pass,Successful Run,2021-12-27 16:52:26.394122,5.908927,106,4
salesforce_lead.py,2021-12-27 16:52:27.146113,Pass,Successful Run,2021-12-27 16:52:32.940037,5.793924,1183,7
salesforce_opportunity.py,2021-12-27 16:52:33.774029,Pass,Successful Run,2021-12-27 16:52:38.968967,5.194938,313,0
salesforce_recordtype.py,2021-12-27 16:52:39.850955,Pass,Successful Run,2021-12-27 16:52:43.240525,3.38957,118,0
salesforce_task.py,2021-12-27 16:52:44.131138,Pass,Successful Run,2021-12-27 16:52:54.334154,10.203016,5458,383
salesforce_user.py,2021-12-27 16:52:55.193516,Pass,Successful Run,2021-12-27 16:52:54.334154,10.203016,5458,383
