Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-10-20 12:28:53.654922,Pass,Successful Run,2021-10-20 12:29:00.842221,7.187299,14,21
eloqua_bounceback.py,2021-10-20 12:29:01.717193,Pass,Successful Run,2021-10-20 12:29:07.826393,6.1092,0,26
eloqua_contacts.py,2021-10-20 12:29:07.857642,Pass,Successful Run,2021-10-20 12:29:21.179955,13.322313,836,218
eloqua_emailclickthrough.py,2021-10-20 12:29:21.192962,Pass,Successful Run,2021-10-20 12:29:28.465755,7.272793,91,318
eloqua_emailopen.py,2021-10-20 12:29:28.482753,Pass,Successful Run,2021-10-20 12:30:03.549684,35.066931,1966,7620
eloqua_emailsend.py,2021-10-20 12:30:03.565681,Pass,Successful Run,2021-10-20 12:30:34.456818,30.891137,4398,16471
eloqua_formsubmit.py,2021-10-20 12:30:34.476811,Pass,Successful Run,2021-10-20 12:30:46.670415,12.193604,67,165
eloqua_pageview.py,2021-10-20 12:30:46.692417,Pass,Successful Run,2021-10-20 12:31:04.705883,18.013466,1184,3434
eloqua_subscribe.py,2021-10-20 12:31:04.719890,Pass,Successful Run,2021-10-20 12:31:11.333715,6.613825,74,199
eloqua_unsubscribe.py,2021-10-20 12:31:11.346723,Pass,Successful Run,2021-10-20 12:31:16.464569,5.117846,74,199
eloqua_webvisit.py,2021-10-20 12:31:16.478575,Pass,Successful Run,2021-10-20 12:31:25.565263,9.086688,427,1118
salesforce_account.py,2021-10-20 12:31:25.987270,Pass,Successful Run,2021-10-20 12:31:30.633116,4.645846,89,26
salesforce_campaign.py,2021-10-20 12:31:30.646118,Pass,Successful Run,2021-10-20 12:31:35.951973,5.305855,247,27
salesforce_campaignmember.py,2021-10-20 12:31:35.987975,Pass,Successful Run,2021-10-20 12:32:13.073883,37.085908,5787,16186
salesforce_case.py,2021-10-20 12:32:13.089891,Pass,Successful Run,2021-10-20 12:32:31.398358,18.308467,6570,685
salesforce_contact.py,2021-10-20 12:32:31.410365,Pass,Successful Run,2021-10-20 12:32:58.950527,27.540162,8024,193
salesforce_event.py,2021-10-20 12:32:58.965529,Pass,Successful Run,2021-10-20 12:33:07.119293,8.153764,439,56
salesforce_lead.py,2021-10-20 12:33:07.132300,Pass,Successful Run,2021-10-20 12:33:11.797141,4.664841,560,58
salesforce_opportunity.py,2021-10-20 12:33:11.811148,Pass,Successful Run,2021-10-20 12:33:20.314912,8.503764,547,17
salesforce_recordtype.py,2021-10-20 12:33:20.327920,Pass,Successful Run,2021-10-20 12:33:24.789761,4.461841,116,0
salesforce_task.py,2021-10-20 12:33:24.805760,Pass,Successful Run,2021-10-20 12:33:44.484207,19.678447,10688,3379
salesforce_user.py,2021-10-20 12:33:44.499214,Pass,Successful Run,2021-10-20 12:36:02.374138,137.874924,127203,46
