BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-11-10 16:16:43.144588,Pass,Successful Run,2021-11-10 16:16:43.348584,0.203996,91
d_customer.py,2021-11-10 16:16:43,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-11-10 16:16:43,0,0
d_naics.py,2021-11-10 16:16:46.670484,Pass,Successful Run,2021-11-10 16:16:57.162080,10.491596,1276
d_psc.py,2021-11-10 16:16:57.171087,Pass,Successful Run,2021-11-10 16:17:09.228650,12.057563,3122
f_advantage.py,2021-11-10 16:17:09.238652,Pass,Successful Run,2021-11-10 16:17:10.077614,0.838962,3129636
f_budget_authority.py,2021-11-10 16:17:10.085615,Pass,Successful Run,2021-11-10 16:17:10.501591,0.415976,199550
f_budget_outlays.py,2021-11-10 16:17:10.509624,Pass,Successful Run,2021-11-10 16:17:10.823620,0.313996,205250
f_budget_receipts.py,2021-11-10 16:17:10.834620,Pass,Successful Run,2021-11-10 16:17:11.033586,0.198966,12600
f_campaign.py,2021-11-10 16:17:11.042622,Pass,Successful Run,2021-11-10 16:17:17.230364,6.187742,26650659
f_case.py,2021-11-10 16:17:17.259368,Pass,Successful Run,2021-11-10 16:17:18.469330,1.209962,1985161
f_ebuy.py,2021-11-10 16:17:18.477330,Pass,Successful Run,2021-11-10 16:17:18.813331,0.336001,85303
f_eloqua_emailclick.py,2021-11-10 16:17:18.822333,Pass,Successful Run,2021-11-10 16:17:19.363293,0.54096,240722
f_eloqua_emailopen.py,2021-11-10 16:17:19.371294,Pass,Successful Run,2021-11-10 16:17:20.882260,1.510966,4507145
f_eloqua_emailsend.py,2021-11-10 16:17:20.893262,Pass,Successful Run,2021-11-10 16:17:24.685115,3.791853,16834323
f_eloqua_pageview.py,2021-11-10 16:17:24.694109,Pass,Successful Run,2021-11-10 16:17:26.414042,1.719933,3127791
f_eloqua_webvisit.py,2021-11-10 16:17:26.422048,Pass,Successful Run,2021-11-10 16:17:27.173007,0.750959,1059972
f_opportunity.py,2021-11-10 16:17:27.193008,Pass,Successful Run,2021-11-10 16:17:27.461007,0.267999,38237
f_survey.py,2021-11-10 16:17:27.470012,Pass,Successful Run,2021-11-10 16:17:28.349972,0.87996,1283413
s_fpds_obligations.py,2021-11-10 16:17:28.357968,Pass,Successful Run,2021-11-10 16:17:53.428074,25.070106,6935770
