Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-10-08 16:06:41.503741,Pass,Successful Run,2021-10-08 16:06:47.443562,5.939821,12,25
eloqua_bounceback.py,2021-10-08 16:06:47.458569,Pass,Successful Run,2021-10-08 16:06:52.302413,4.843844,0,5
eloqua_contacts.py,2021-10-08 16:06:52.317419,Pass,Successful Run,2021-10-08 16:07:08.786019,16.4686,8350,114
eloqua_emailclickthrough.py,2021-10-08 16:07:08.799024,Pass,Successful Run,2021-10-08 16:07:15.107843,6.308819,81,95
eloqua_emailopen.py,2021-10-08 16:07:15.120845,Pass,Successful Run,2021-10-08 16:07:39.407286,24.286441,4069,4793
eloqua_emailsend.py,2021-10-08 16:07:39.423285,Pass,Successful Run,2021-10-08 16:08:12.499505,33.07622,10619,16192
eloqua_formsubmit.py,2021-10-08 16:08:12.517506,Pass,Successful Run,2021-10-08 16:08:21.191284,8.673778,89,102
eloqua_pageview.py,2021-10-08 16:08:21.205286,Pass,Successful Run,2021-10-08 16:08:28.158122,6.952836,1074,665
eloqua_subscribe.py,2021-10-08 16:08:28.171129,Pass,Successful Run,2021-10-08 16:08:33.352003,5.180874,225,97
eloqua_unsubscribe.py,2021-10-08 16:08:33.364012,Pass,Successful Run,2021-10-08 16:08:38.124883,4.760871,225,97
eloqua_webvisit.py,2021-10-08 16:08:38.146887,Pass,Successful Run,2021-10-08 16:08:45.065715,6.918828,250,285
salesforce_account.py,2021-10-08 16:08:45.572726,Pass,Successful Run,2021-10-08 16:08:49.115627,3.542901,130,21
salesforce_campaign.py,2021-10-08 16:08:49.125626,Pass,Successful Run,2021-10-08 16:08:53.087529,3.961903,228,13
salesforce_campaignmember.py,2021-10-08 16:08:53.101537,Pass,Successful Run,2021-10-08 16:09:22.607854,29.506317,6898,7501
salesforce_case.py,2021-10-08 16:09:22.617860,Pass,Successful Run,2021-10-08 16:09:47.235255,24.617395,11111,421
salesforce_contact.py,2021-10-08 16:09:47.250258,Pass,Successful Run,2021-10-08 16:10:15.971569,28.721311,14599,96
salesforce_event.py,2021-10-08 16:10:15.983571,Pass,Successful Run,2021-10-08 16:10:30.973212,14.989641,616,127
salesforce_lead.py,2021-10-08 16:10:30.989213,Pass,Successful Run,2021-10-08 16:10:36.440105,5.450892,900,11
salesforce_opportunity.py,2021-10-08 16:10:36.452110,Pass,Successful Run,2021-10-08 16:10:47.675848,11.223738,1579,5
salesforce_recordtype.py,2021-10-08 16:10:47.687856,Pass,Successful Run,2021-10-08 16:10:51.047743,3.359887,116,0
salesforce_task.py,2021-10-08 16:10:51.058745,Pass,Successful Run,2021-10-08 16:11:22.346016,31.287271,15572,2651
salesforce_user.py,2021-10-08 16:11:22.359022,Pass,Successful Run,2021-10-08 16:13:49.858552,147.49953,123585,29
