Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-10-06 17:19:06.796808,Pass,Successful Run,2021-10-06 17:19:13.895632,7.098824,6,49
eloqua_bounceback.py,2021-10-06 17:19:13.910596,Pass,Successful Run,2021-10-06 17:19:19.645478,5.734882,0,15
eloqua_contacts.py,2021-10-06 17:19:19.658486,Pass,Successful Run,2021-10-06 17:19:32.071156,12.41267,2331,2669
eloqua_emailclickthrough.py,2021-10-06 17:19:32.084156,Pass,Successful Run,2021-10-06 17:19:39.763998,7.679842,0,439
eloqua_emailopen.py,2021-10-06 17:19:39.791000,Pass,Successful Run,2021-10-06 17:20:07.225312,27.434312,0,15572
eloqua_emailsend.py,2021-10-06 17:20:07.238306,Pass,Successful Run,2021-10-06 17:21:20.816544,73.578238,0,60166
eloqua_formsubmit.py,2021-10-06 17:21:20.871551,Pass,Successful Run,2021-10-06 17:21:34.331192,13.459641,0,324
eloqua_pageview.py,2021-10-06 17:21:34.350197,Pass,Successful Run,2021-10-06 17:21:50.826812,16.476615,0,2192
eloqua_subscribe.py,2021-10-06 17:21:50.841819,Pass,Successful Run,2021-10-06 17:21:59.717590,8.875771,0,1465
eloqua_unsubscribe.py,2021-10-06 17:21:59.728592,Pass,Successful Run,2021-10-06 17:22:05.541441,5.812849,0,1465
eloqua_webvisit.py,2021-10-06 17:22:05.555443,Pass,Successful Run,2021-10-06 17:22:11.862303,6.30686,0,764
salesforce_account.py,2021-10-06 17:22:12.281269,Pass,Successful Run,2021-10-06 17:22:17.238145,4.956876,68,53
salesforce_campaign.py,2021-10-06 17:22:17.249153,Pass,Successful Run,2021-10-06 17:22:22.927002,5.677849,252,7
salesforce_campaignmember.py,2021-10-06 17:22:22.942998,Pass,Successful Run,2021-10-06 17:23:19.911650,56.968652,5163,36476
salesforce_case.py,2021-10-06 17:23:19.922657,Pass,Successful Run,2021-10-06 17:23:43.345054,23.422397,10151,1260
salesforce_contact.py,2021-10-06 17:23:43.355058,Pass,Successful Run,2021-10-06 17:24:01.478621,18.123563,8489,261
salesforce_event.py,2021-10-06 17:24:01.490624,Pass,Successful Run,2021-10-06 17:24:13.686330,12.195706,410,200
salesforce_lead.py,2021-10-06 17:24:13.696338,Pass,Successful Run,2021-10-06 17:24:18.455204,4.758866,661,236
salesforce_opportunity.py,2021-10-06 17:24:18.470206,Pass,Successful Run,2021-10-06 17:26:07.051168,108.580962,52872,20
salesforce_recordtype.py,2021-10-06 17:26:07.063174,Pass,Successful Run,2021-10-06 17:26:14.828971,7.765797,116,0
salesforce_task.py,2021-10-06 17:26:14.846972,Pass,Successful Run,2021-10-06 17:26:36.606319,21.759347,9360,5971
salesforce_user.py,2021-10-06 17:26:36.618327,Pass,Successful Run,2021-10-06 17:28:49.335984,132.717657,126854,86
