Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-11-16 11:20:50.596572,Pass,Successful Run,2021-11-16 11:20:59.455626,8.859054,25,0
eloqua_bounceback.py,2021-11-16 11:20:59.455626,Pass,Successful Run,2021-11-16 11:21:11.455205,11.999579,0,12
eloqua_contacts.py,2021-11-16 11:21:11.455205,Pass,Successful Run,2021-11-16 11:21:23.048525,11.59332,1026,30
eloqua_emailclickthrough.py,2021-11-16 11:21:23.048525,Pass,Successful Run,2021-11-16 11:21:30.772029,7.723504,430,26
eloqua_emailopen.py,2021-11-16 11:21:30.775031,Pass,Successful Run,2021-11-16 11:21:56.172560,25.397529,16498,373
eloqua_emailsend.py,2021-11-16 11:21:56.172560,Pass,Successful Run,2021-11-16 11:22:52.647700,56.47514,50885,13
eloqua_formsubmit.py,2021-11-16 11:22:52.647700,Pass,Successful Run,2021-11-16 11:23:05.967395,13.319695,425,11
eloqua_pageview.py,2021-11-16 11:23:05.983019,Pass,Successful Run,2021-11-16 11:23:16.560854,10.577835,3332,93
eloqua_subscribe.py,2021-11-16 11:23:16.560854,Pass,Successful Run,2021-11-16 11:23:23.357528,6.796674,255,6
eloqua_unsubscribe.py,2021-11-16 11:23:23.357528,Pass,Successful Run,2021-11-16 11:23:29.279223,5.921695,255,6
eloqua_webvisit.py,2021-11-16 11:23:29.279223,Pass,Successful Run,2021-11-16 11:23:37.060238,7.781015,1204,39
salesforce_account.py,2021-11-16 11:23:37.232120,Pass,Successful Run,2021-11-16 11:23:44.169416,6.937296,136,0
salesforce_campaign.py,2021-11-16 11:23:44.169416,Pass,Successful Run,2021-11-16 11:23:50.028618,5.859202,171,0
salesforce_campaignmember.py,2021-11-16 11:23:50.028618,Pass,Successful Run,2021-11-16 11:24:24.215127,34.186509,29626,1387
salesforce_case.py,2021-11-16 11:24:24.215127,Pass,Successful Run,2021-11-16 11:24:40.230279,16.015152,5657,16
salesforce_contact.py,2021-11-16 11:24:40.230279,Pass,Successful Run,2021-11-16 11:25:06.664627,26.434348,8090,0
salesforce_event.py,2021-11-16 11:25:06.665636,Pass,Successful Run,2021-11-16 11:25:12.707453,6.041817,209,2
salesforce_lead.py,2021-11-16 11:25:12.709458,Pass,Successful Run,2021-11-16 11:25:20.513239,7.803781,1009,1
salesforce_opportunity.py,2021-11-16 11:25:20.514258,Pass,Successful Run,2021-11-16 11:25:27.429042,6.914784,452,1
salesforce_recordtype.py,2021-11-16 11:25:27.430043,Pass,Successful Run,2021-11-16 11:25:35.151802,7.721759,116,0
salesforce_task.py,2021-11-16 11:25:35.153805,Pass,Successful Run,2021-11-16 11:25:47.683412,12.529607,7409,61
salesforce_user.py,2021-11-16 11:25:47.684415,Pass,Successful Run,2021-11-16 11:28:32.891526,165.207111,128037,1
