Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-10-25 15:46:56.309125,Pass,Successful Run,2021-10-25 15:47:03.229928,6.920803,0,10
eloqua_bounceback.py,2021-10-25 15:47:03.258931,Pass,Successful Run,2021-10-25 15:47:09.128757,5.869826,0,10
eloqua_contacts.py,2021-10-25 15:47:09.131760,Pass,Successful Run,2021-10-25 15:47:18.819520,9.68776,247,221
eloqua_emailclickthrough.py,2021-10-25 15:47:18.834483,Pass,Successful Run,2021-10-25 15:47:25.361320,6.526837,0,136
eloqua_emailopen.py,2021-10-25 15:47:25.382321,Pass,Successful Run,2021-10-25 15:47:44.589788,19.207467,0,6087
eloqua_emailsend.py,2021-10-25 15:47:44.601790,Pass,Successful Run,2021-10-25 15:48:22.371732,37.769942,0,26977
eloqua_formsubmit.py,2021-10-25 15:48:22.389733,Pass,Successful Run,2021-10-25 15:48:33.398427,11.008694,0,185
eloqua_pageview.py,2021-10-25 15:48:33.419427,Pass,Successful Run,2021-10-25 15:48:44.558123,11.138696,0,2457
eloqua_subscribe.py,2021-10-25 15:48:44.574126,Pass,Successful Run,2021-10-25 15:48:49.374979,4.800853,0,152
eloqua_unsubscribe.py,2021-10-25 15:48:49.386985,Pass,Successful Run,2021-10-25 15:48:54.833850,5.446865,0,152
eloqua_webvisit.py,2021-10-25 15:48:54.848815,Pass,Successful Run,2021-10-25 15:49:01.007640,6.158825,0,862
salesforce_account.py,2021-10-25 15:49:01.471647,Pass,Successful Run,2021-10-25 15:49:05.267535,3.795888,82,45
salesforce_campaign.py,2021-10-25 15:49:05.279536,Pass,Successful Run,2021-10-25 15:49:09.955394,4.675858,236,17
salesforce_campaignmember.py,2021-10-25 15:49:09.992397,Pass,Successful Run,2021-10-25 15:49:39.286587,29.29419,1787,20086
salesforce_case.py,2021-10-25 15:49:39.290593,Pass,Successful Run,2021-10-25 15:49:59.299033,20.00844,6268,1411
salesforce_contact.py,2021-10-25 15:49:59.315041,Pass,Successful Run,2021-10-25 15:50:27.076233,27.761192,10432,348
salesforce_event.py,2021-10-25 15:50:27.103261,Pass,Successful Run,2021-10-25 15:50:40.051889,12.948628,200,123
salesforce_lead.py,2021-10-25 15:50:40.066896,Pass,Successful Run,2021-10-25 15:50:46.542729,6.475833,1678,125
salesforce_opportunity.py,2021-10-25 15:50:46.577737,Pass,Successful Run,2021-10-25 15:50:54.802511,8.224774,506,28
salesforce_recordtype.py,2021-10-25 15:50:54.855477,Pass,Successful Run,2021-10-25 15:50:59.294365,4.438888,116,0
salesforce_task.py,2021-10-25 15:50:59.311371,Pass,Successful Run,2021-10-25 15:51:18.338837,19.027466,7666,6177
salesforce_user.py,2021-10-25 15:51:18.350839,Pass,Successful Run,2021-10-25 15:53:53.861531,155.510692,127165,81
