Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-12-22 17:57:16.203739,Pass,Successful Run,2021-12-22 17:57:22.797406,6.593667,418,7
eloqua_bounceback.py,2021-12-22 17:57:15,Fail,"(psycopg2.errors.DuplicateTable) relation ""t_eloqua_bounceback"" already exists

[SQL: CREATE TABLE customer360.t_eloqua_bounceback AS (SELECT * FROM customer360.s_eloqua_bounceback WHERE 1=2);]
(Background on this error at: http://sqlalche.me/e/f405)",2021-12-22 17:57:15,0,0,0
eloqua_contacts.py,2021-12-22 17:57:26.719252,Pass,Successful Run,2021-12-22 17:57:38.312792,11.59354,4547,156
eloqua_emailclickthrough.py,2021-12-22 17:57:38.312792,Pass,Successful Run,2021-12-22 17:57:45.484581,7.171789,1376,29
eloqua_emailopen.py,2021-12-22 17:57:45.484581,Pass,Successful Run,2021-12-22 17:58:44.405797,58.921216,49421,1060
eloqua_emailsend.py,2021-12-22 17:58:44.405797,Pass,Successful Run,2021-12-22 18:01:29.294581,164.888784,169967,3543
eloqua_formsubmit.py,2021-12-22 18:01:29.294581,Pass,Successful Run,2021-12-22 18:01:47.419381,18.1248,2651,33
eloqua_pageview.py,2021-12-22 18:01:47.419381,Pass,Successful Run,2021-12-22 18:02:12.669102,25.249721,16712,551
eloqua_subscribe.py,2021-12-22 18:02:12.669102,Pass,Successful Run,2021-12-22 18:02:20.106508,7.437406,1267,35
eloqua_unsubscribe.py,2021-12-22 18:02:20.106508,Pass,Successful Run,2021-12-22 18:02:26.403320,6.296812,1267,35
eloqua_webvisit.py,2021-12-22 18:02:26.403320,Pass,Successful Run,2021-12-22 18:04:01.089756,94.686436,5886,210
salesforce_account.py,2021-12-22 18:04:01.308508,Pass,Successful Run,2021-12-22 18:04:07.542819,6.234311,519,13
salesforce_campaign.py,2021-12-22 18:04:07.542819,Pass,Successful Run,2021-12-22 18:04:12.199011,4.656192,274,0
salesforce_campaignmember.py,2021-12-22 18:04:12.199011,Pass,Successful Run,2021-12-22 18:04:40.433073,28.234062,22312,3422
salesforce_case.py,2021-12-22 18:04:40.433073,Pass,Successful Run,2021-12-22 18:04:55.901641,15.468568,7575,185
salesforce_contact.py,2021-12-22 18:04:55.901641,Pass,Successful Run,2021-12-22 18:05:26.338811,30.43717,11611,33
salesforce_event.py,2021-12-22 18:05:26.338811,Pass,Successful Run,2021-12-22 18:05:32.588749,6.249938,352,22
salesforce_lead.py,2021-12-22 18:05:32.588749,Pass,Successful Run,2021-12-22 18:05:38.541802,5.953053,1986,11
salesforce_opportunity.py,2021-12-22 18:05:38.557427,Pass,Successful Run,2021-12-22 18:08:56.023962,197.466535,69028,3
salesforce_recordtype.py,2021-12-22 18:08:56.023962,Pass,Successful Run,2021-12-22 18:09:03.992624,7.968662,118,0
salesforce_task.py,2021-12-22 18:09:03.992624,Pass,Successful Run,2021-12-22 18:09:19.258081,15.265457,13080,637
salesforce_user.py,2021-12-22 18:09:19.258081,Pass,Successful Run,2021-12-22 18:09:19.258081,15.265457,13080,637
