BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-11-16 11:11:06.990458,Pass,Successful Run,2021-11-16 11:11:07.396715,0.406257,91
d_customer.py,2021-11-16 11:11:06,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-11-16 11:11:06,0,0
d_naics.py,2021-11-16 11:11:39.552006,Pass,Successful Run,2021-11-16 11:12:10.418903,30.866897,1276
d_psc.py,2021-11-16 11:12:10.418903,Pass,Successful Run,2021-11-16 11:13:01.612157,51.193254,3122
f_advantage.py,2021-11-16 11:13:01.612157,Pass,Successful Run,2021-11-16 11:13:12.814960,11.202803,3129636
f_budget_authority.py,2021-11-16 11:13:12.814960,Pass,Successful Run,2021-11-16 11:13:16.971095,4.156135,199550
f_budget_outlays.py,2021-11-16 11:13:16.971095,Pass,Successful Run,2021-11-16 11:13:18.096069,1.124974,205250
f_budget_receipts.py,2021-11-16 11:13:18.111693,Pass,Successful Run,2021-11-16 11:13:21.392860,3.281167,12600
f_campaign.py,2021-11-16 11:13:21.392860,Pass,Successful Run,2021-11-16 11:13:42.860974,21.468114,26675720
f_case.py,2021-11-16 11:13:42.860974,Pass,Successful Run,2021-11-16 11:13:55.157505,12.296531,1986164
f_ebuy.py,2021-11-16 11:13:55.157505,Pass,Successful Run,2021-11-16 11:14:04.485376,9.327871,85303
f_eloqua_emailclick.py,2021-11-16 11:14:04.501004,Pass,Successful Run,2021-11-16 11:14:11.188300,6.687296,241145
f_eloqua_emailopen.py,2021-11-16 11:14:11.203930,Pass,Successful Run,2021-11-16 11:14:21.047383,9.843453,4523287
f_eloqua_emailsend.py,2021-11-16 11:14:21.047383,Pass,Successful Run,2021-11-16 11:14:30.281503,9.23412,16884778
f_eloqua_pageview.py,2021-11-16 11:14:30.281503,Pass,Successful Run,2021-11-16 11:14:39.703083,9.42158,3130627
f_eloqua_webvisit.py,2021-11-16 11:14:39.703083,Pass,Successful Run,2021-11-16 11:14:46.515420,6.812337,1061074
f_opportunity.py,2021-11-16 11:14:46.531047,Pass,Successful Run,2021-11-16 11:14:58.436954,11.905907,38444
f_survey.py,2021-11-16 11:14:58.436954,Pass,Successful Run,2021-11-16 11:15:06.280475,7.843521,1283413
s_fpds_obligations.py,2021-11-16 11:15:06.296099,Pass,Successful Run,2021-11-16 11:16:02.778589,56.48249,6935770
