Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-10-18 16:49:55.212994,Pass,Successful Run,2021-10-18 16:50:01.817838,6.604844,0,20
eloqua_bounceback.py,2021-10-18 16:50:01.830838,Pass,Successful Run,2021-10-18 16:50:06.713694,4.882856,0,18
eloqua_contacts.py,2021-10-18 16:50:06.726695,Pass,Successful Run,2021-10-18 16:50:16.423416,9.696721,222,230
eloqua_emailclickthrough.py,2021-10-18 16:50:16.436414,Pass,Successful Run,2021-10-18 16:50:21.529279,5.092865,0,180
eloqua_emailopen.py,2021-10-18 16:50:21.545278,Pass,Successful Run,2021-10-18 16:50:37.840845,16.295567,0,6921
eloqua_emailsend.py,2021-10-18 16:50:37.855835,Pass,Successful Run,2021-10-18 16:51:06.677024,28.821189,0,13764
eloqua_formsubmit.py,2021-10-18 16:51:06.696025,Pass,Successful Run,2021-10-18 16:51:15.385765,8.68974,0,159
eloqua_pageview.py,2021-10-18 16:51:15.400768,Pass,Successful Run,2021-10-18 16:51:26.064423,10.663655,0,2529
eloqua_subscribe.py,2021-10-18 16:51:26.082460,Pass,Successful Run,2021-10-18 16:51:31.522298,5.439838,0,144
eloqua_unsubscribe.py,2021-10-18 16:51:31.544323,Pass,Successful Run,2021-10-18 16:51:36.748189,5.203866,0,144
eloqua_webvisit.py,2021-10-18 16:51:36.766192,Pass,Successful Run,2021-10-18 16:51:42.430015,5.663823,0,869
salesforce_account.py,2021-10-18 16:51:42.815021,Pass,Successful Run,2021-10-18 16:51:48.344847,5.529826,293,39
salesforce_campaign.py,2021-10-18 16:51:48.354855,Pass,Successful Run,2021-10-18 16:51:53.119705,4.76485,250,46
salesforce_campaignmember.py,2021-10-18 16:51:53.133713,Pass,Successful Run,2021-10-18 16:52:13.747156,20.613443,2103,6026
salesforce_case.py,2021-10-18 16:52:13.758158,Pass,Successful Run,2021-10-18 16:52:30.926683,17.168525,6273,1258
salesforce_contact.py,2021-10-18 16:52:30.936693,Pass,Successful Run,2021-10-18 16:52:58.958905,28.022212,9882,321
salesforce_event.py,2021-10-18 16:52:58.971908,Pass,Successful Run,2021-10-18 16:53:06.563678,7.59177,293,279
salesforce_lead.py,2021-10-18 16:53:06.577678,Pass,Successful Run,2021-10-18 16:53:10.792568,4.21489,500,71
salesforce_opportunity.py,2021-10-18 16:53:10.804570,Pass,Successful Run,2021-10-18 16:53:18.780344,7.975774,549,20
salesforce_recordtype.py,2021-10-18 16:53:18.790351,Pass,Successful Run,2021-10-18 16:53:22.724231,3.93388,116,0
salesforce_task.py,2021-10-18 16:53:22.734234,Pass,Successful Run,2021-10-18 16:53:42.938678,20.204444,9081,6140
salesforce_user.py,2021-10-18 16:53:42.950681,Pass,Successful Run,2021-10-18 16:55:53.464021,130.51334,127096,84
