Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-09-21 14:19:28.503974,Pass,Successful Run,2021-09-21 14:19:35.783770,7.279796,9,20
eloqua_bounceback.py,2021-09-21 14:19:35.799771,Pass,Successful Run,2021-09-21 14:19:44.881504,9.081733,0,2
eloqua_contacts.py,2021-09-21 14:19:44.894507,Pass,Successful Run,2021-09-21 14:19:55.867180,10.972673,1367,562
eloqua_emailclickthrough.py,2021-09-21 14:19:55.881182,Pass,Successful Run,2021-09-21 14:20:01.885004,6.003822,105,137
eloqua_emailopen.py,2021-09-21 14:20:01.902011,Pass,Successful Run,2021-09-21 14:20:22.414378,20.512367,3638,6015
eloqua_emailsend.py,2021-09-21 14:20:22.429385,Pass,Successful Run,2021-09-21 14:21:14.154888,51.725503,21443,26233
eloqua_formsubmit.py,2021-09-21 14:21:14.167886,Pass,Successful Run,2021-09-21 14:21:23.430545,9.262659,56,130
eloqua_pageview.py,2021-09-21 14:21:23.443583,Pass,Successful Run,2021-09-21 14:21:34.088294,10.644711,507,1108
eloqua_subscribe.py,2021-09-21 14:21:34.103297,Pass,Successful Run,2021-09-21 14:21:41.401050,7.297753,180,262
eloqua_unsubscribe.py,2021-09-21 14:21:41.415052,Pass,Successful Run,2021-09-21 14:21:46.938909,5.523857,180,262
eloqua_webvisit.py,2021-09-21 14:21:46.952916,Pass,Successful Run,2021-09-21 14:21:54.881675,7.928759,184,396
salesforce_account.py,2021-09-21 14:21:55.293679,Pass,Successful Run,2021-09-21 14:22:00.164533,4.870854,81,22
salesforce_campaign.py,2021-09-21 14:22:00.176536,Pass,Successful Run,2021-09-21 14:22:05.431343,5.254807,151,3
salesforce_campaignmember.py,2021-09-21 14:22:05.488351,Pass,Successful Run,2021-09-21 14:22:54.089936,48.601585,15952,16091
salesforce_case.py,2021-09-21 14:22:54.101943,Pass,Successful Run,2021-09-21 14:23:16.358341,22.256398,7420,1135
salesforce_contact.py,2021-09-21 14:23:16.368348,Pass,Successful Run,2021-09-21 14:23:35.664879,19.296531,9389,193
salesforce_event.py,2021-09-21 14:23:35.667883,Pass,Successful Run,2021-09-21 14:23:45.176644,9.508761,179,65
salesforce_lead.py,2021-09-21 14:23:45.190651,Pass,Successful Run,2021-09-21 14:23:50.921463,5.730812,1013,112
salesforce_opportunity.py,2021-09-21 14:23:50.933470,Pass,Successful Run,2021-09-21 14:23:57.963257,7.029787,828,26
salesforce_recordtype.py,2021-09-21 14:23:57.967262,Pass,Successful Run,2021-09-21 14:24:01.759087,3.791825,116,0
salesforce_task.py,2021-09-21 14:24:01.762144,Pass,Successful Run,2021-09-21 14:24:22.809519,21.047375,11795,3989
salesforce_user.py,2021-09-21 14:24:22.812524,Pass,Successful Run,2021-09-21 14:26:36.813908,134.001384,126524,62
