Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-11-02 15:57:55.022394,Pass,Successful Run,2021-11-02 15:58:03.147171,8.124777,11,19
eloqua_bounceback.py,2021-11-02 15:58:03.162793,Pass,Successful Run,2021-11-02 15:58:09.787586,6.624793,0,280
eloqua_contacts.py,2021-11-02 15:58:09.803210,Pass,Successful Run,2021-11-02 15:58:29.708880,19.90567,12988,346
eloqua_emailclickthrough.py,2021-11-02 15:58:29.724505,Pass,Successful Run,2021-11-02 15:58:40.567935,10.84343,78,1593
eloqua_emailopen.py,2021-11-02 15:58:40.583559,Pass,Successful Run,2021-11-02 15:59:48.722230,68.138671,5787,42759
eloqua_emailsend.py,2021-11-02 15:59:48.737861,Pass,Successful Run,2021-11-02 16:02:25.108363,156.370502,12738,163786
eloqua_formsubmit.py,2021-11-02 16:02:25.123992,Pass,Successful Run,2021-11-02 16:02:36.233043,11.109051,95,740
eloqua_pageview.py,2021-11-02 16:02:36.248669,Pass,Successful Run,2021-11-02 16:02:57.341818,21.093149,1141,7417
eloqua_subscribe.py,2021-11-02 16:02:57.357444,Pass,Successful Run,2021-11-02 16:03:02.279176,4.921732,68,278
eloqua_unsubscribe.py,2021-11-02 16:03:02.294802,Pass,Successful Run,2021-11-02 16:03:07.935245,5.640443,68,278
eloqua_webvisit.py,2021-11-02 16:03:07.950876,Pass,Successful Run,2021-11-02 16:03:16.466225,8.515349,405,3023
salesforce_account.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_campaign.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_campaignmember.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_case.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_contact.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_event.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_lead.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_opportunity.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_recordtype.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_task.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
salesforce_user.py,2021-11-02 15:57:54,Fail,"{'message': 'Your password has expired. Please reset your password.', 'errorCode': 'INVALID_OPERATION_WITH_EXPIRED_PASSWORD'}",2021-11-02 15:57:54,0,0,0
