BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-11-09 12:55:41.834963,Pass,Successful Run,2021-11-09 12:55:42.051960,0.216997,91
d_customer.py,2021-11-09 12:55:41,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-11-09 12:55:41,0,0
d_naics.py,2021-11-09 12:55:45.523848,Pass,Successful Run,2021-11-09 12:55:55.156549,9.632701,1276
d_psc.py,2021-11-09 12:55:55.168551,Pass,Successful Run,2021-11-09 12:56:07.757214,12.588663,3122
f_advantage.py,2021-11-09 12:56:07.765205,Pass,Successful Run,2021-11-09 12:56:08.725186,0.959981,3129636
f_budget_authority.py,2021-11-09 12:56:08.734192,Pass,Successful Run,2021-11-09 12:56:09.064196,0.330004,199550
f_budget_outlays.py,2021-11-09 12:56:09.074191,Pass,Successful Run,2021-11-09 12:56:09.395150,0.320959,205250
f_budget_receipts.py,2021-11-09 12:56:09.404158,Pass,Successful Run,2021-11-09 12:56:09.625154,0.220996,12600
f_campaign.py,2021-11-09 12:56:09.634156,Pass,Successful Run,2021-11-09 12:56:15.909989,6.275833,26629007
f_case.py,2021-11-09 12:56:15.918997,Pass,Successful Run,2021-11-09 12:56:17.149924,1.230927,1984804
f_ebuy.py,2021-11-09 12:56:17.158926,Pass,Successful Run,2021-11-09 12:56:17.453928,0.295002,85303
f_eloqua_emailclick.py,2021-11-09 12:56:17.461931,Pass,Successful Run,2021-11-09 12:56:17.976935,0.515004,240344
f_eloqua_emailopen.py,2021-11-09 12:56:17.985943,Pass,Successful Run,2021-11-09 12:56:19.463869,1.477926,4495348
f_eloqua_emailsend.py,2021-11-09 12:56:19.471876,Pass,Successful Run,2021-11-09 12:56:23.446764,3.974888,16811365
f_eloqua_pageview.py,2021-11-09 12:56:23.457761,Pass,Successful Run,2021-11-09 12:56:25.306699,1.848938,3124854
f_eloqua_webvisit.py,2021-11-09 12:56:25.318700,Pass,Successful Run,2021-11-09 12:56:26.090709,0.772009,1058916
f_opportunity.py,2021-11-09 12:56:26.099715,Pass,Successful Run,2021-11-09 12:56:26.374670,0.274955,38177
f_survey.py,2021-11-09 12:56:26.383676,Pass,Successful Run,2021-11-09 12:56:27.163636,0.77996,1283413
s_fpds_obligations.py,2021-11-09 12:56:27.172640,Pass,Successful Run,2021-11-09 12:56:54.014914,26.842274,6935770
