BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-10-20 13:51:20.745422,Pass,Successful Run,2021-10-20 13:51:21.123388,0.377966,91
d_customer.py,2021-10-20 13:51:21.124386,Pass,Successful Run,2021-10-20 13:51:24.499310,3.374924,1411311
d_naics.py,2021-10-20 13:51:24.500310,Pass,Successful Run,2021-10-20 13:51:33.607064,9.106754,1276
d_psc.py,2021-10-20 13:51:33.608066,Pass,Successful Run,2021-10-20 13:51:45.600730,11.992664,3122
f_advantage.py,2021-10-20 13:51:45.601731,Pass,Successful Run,2021-10-20 13:51:46.403703,0.801972,3139079
f_budget_authority.py,2021-10-20 13:51:46.404708,Pass,Successful Run,2021-10-20 13:51:46.756708,0.352,199550
f_budget_outlays.py,2021-10-20 13:51:46.757710,Pass,Successful Run,2021-10-20 13:51:47.105670,0.34796,205250
f_budget_receipts.py,2021-10-20 13:51:47.106672,Pass,Successful Run,2021-10-20 13:51:47.330673,0.224001,12600
f_campaign.py,2021-10-20 13:51:47.331676,Pass,Successful Run,2021-10-20 13:51:53.948517,6.616841,26357831
f_case.py,2021-10-20 13:51:53.949519,Pass,Successful Run,2021-10-20 13:51:55.282454,1.332935,2007666
f_ebuy.py,2021-10-20 13:51:55.283456,Pass,Successful Run,2021-10-20 13:51:55.580460,0.297004,85389
f_eloqua_emailclick.py,2021-10-20 13:51:55.581462,Pass,Successful Run,2021-10-20 13:51:56.128425,0.546963,234859
f_eloqua_emailopen.py,2021-10-20 13:51:56.129426,Pass,Successful Run,2021-10-20 13:51:57.568402,1.438976,4351527
f_eloqua_emailsend.py,2021-10-20 13:51:57.569403,Pass,Successful Run,2021-10-20 13:52:01.405293,3.83589,16240002
f_eloqua_pageview.py,2021-10-20 13:52:01.406296,Pass,Successful Run,2021-10-20 13:52:03.098230,1.691934,3098267
f_eloqua_webvisit.py,2021-10-20 13:52:03.098230,Pass,Successful Run,2021-10-20 13:52:03.904241,0.806011,1048368
f_opportunity.py,2021-10-20 13:52:03.905243,Pass,Successful Run,2021-10-20 13:52:04.215203,0.30996,37568
f_survey.py,2021-10-20 13:52:04.216204,Pass,Successful Run,2021-10-20 13:52:05.103176,0.886972,1285005
s_fpds_obligations.py,2021-10-20 13:52:05.103176,Pass,Successful Run,2021-10-20 13:52:30.450500,25.347324,6888137
