Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-11-29 12:15:57.340925,Pass,Successful Run,2021-11-29 12:16:27.294208,29.953283,6,7
eloqua_bounceback.py,2021-11-29 12:16:27.294208,Pass,Successful Run,2021-11-29 12:16:40.418827,13.124619,0,17
eloqua_contacts.py,2021-11-29 12:16:40.434459,Pass,Successful Run,2021-11-29 12:17:01.951092,21.516633,278,140
eloqua_emailclickthrough.py,2021-11-29 12:17:01.965054,Pass,Successful Run,2021-11-29 12:17:39.151501,37.186447,0,195
eloqua_emailopen.py,2021-11-29 12:17:39.151501,Pass,Successful Run,2021-11-29 12:18:08.400662,29.249161,0,7885
eloqua_emailsend.py,2021-11-29 12:18:08.400662,Pass,Successful Run,2021-11-29 12:18:31.165625,22.764963,0,4768
eloqua_formsubmit.py,2021-11-29 12:18:31.181255,Pass,Successful Run,2021-11-29 12:19:07.773925,36.59267,0,277
eloqua_pageview.py,2021-11-29 12:19:07.773925,Pass,Successful Run,2021-11-29 12:19:31.679484,23.905559,0,1211
eloqua_subscribe.py,2021-11-29 12:19:31.695106,Pass,Successful Run,2021-11-29 12:19:54.413291,22.718185,0,111
eloqua_unsubscribe.py,2021-11-29 12:19:54.428912,Pass,Successful Run,2021-11-29 12:19:59.894999,5.466087,0,111
eloqua_webvisit.py,2021-11-29 12:19:59.913109,Pass,Successful Run,2021-11-29 12:20:27.881049,27.96794,0,538
salesforce_account.py,2021-11-29 12:20:28.271676,Pass,Successful Run,2021-11-29 12:21:31.816229,63.544553,85,20
salesforce_campaign.py,2021-11-29 12:21:31.816229,Pass,Successful Run,2021-11-29 12:21:53.690449,21.87422,129,9
salesforce_campaignmember.py,2021-11-29 12:21:53.690449,Pass,Successful Run,2021-11-29 12:22:20.923872,27.233423,2128,3926
salesforce_case.py,2021-11-29 12:22:20.939498,Pass,Successful Run,2021-11-29 12:22:47.907295,26.967797,5424,880
salesforce_contact.py,2021-11-29 12:22:47.907295,Pass,Successful Run,2021-11-29 12:23:20.453037,32.545742,6374,171
salesforce_event.py,2021-11-29 12:23:20.468665,Pass,Successful Run,2021-11-29 12:23:59.092284,38.623619,85,124
salesforce_lead.py,2021-11-29 12:23:59.092284,Pass,Successful Run,2021-11-29 12:24:26.981916,27.889632,1396,213
salesforce_opportunity.py,2021-11-29 12:24:26.997541,Pass,Successful Run,2021-11-29 12:25:34.635806,67.638265,296,19
salesforce_recordtype.py,2021-11-29 12:25:34.651427,Pass,Successful Run,2021-11-29 12:26:00.822342,26.170915,117,0
salesforce_task.py,2021-11-29 12:26:00.837967,Pass,Successful Run,2021-11-29 12:26:21.399765,20.561798,918,4513
salesforce_user.py,2021-11-29 12:26:21.399765,Pass,Successful Run,2021-11-29 12:28:39.223008,137.823243,126810,63
