Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-10-13 14:38:33.748247,Pass,Successful Run,2021-10-13 14:38:40.031112,6.282865,2,23
eloqua_bounceback.py,2021-10-13 14:38:40.050115,Pass,Successful Run,2021-10-13 14:38:45.152998,5.102883,0,22
eloqua_contacts.py,2021-10-13 14:38:45.165000,Pass,Successful Run,2021-10-13 14:38:54.445796,9.280796,363,247
eloqua_emailclickthrough.py,2021-10-13 14:38:54.447797,Pass,Successful Run,2021-10-13 14:39:00.176652,5.728855,61,208
eloqua_emailopen.py,2021-10-13 14:39:00.194658,Pass,Successful Run,2021-10-13 14:39:29.193985,28.999327,2598,14116
eloqua_emailsend.py,2021-10-13 14:39:29.205985,Pass,Successful Run,2021-10-13 14:40:31.286557,62.080572,4572,44807
eloqua_formsubmit.py,2021-10-13 14:40:31.298556,Pass,Successful Run,2021-10-13 14:40:41.455330,10.156774,54,148
eloqua_pageview.py,2021-10-13 14:40:41.469335,Pass,Successful Run,2021-10-13 14:40:49.483143,8.013808,431,1331
eloqua_subscribe.py,2021-10-13 14:40:49.503146,Pass,Successful Run,2021-10-13 14:40:55.896972,6.393826,41,231
eloqua_unsubscribe.py,2021-10-13 14:40:55.929978,Pass,Successful Run,2021-10-13 14:41:01.550827,5.620849,41,231
eloqua_webvisit.py,2021-10-13 14:41:01.573828,Pass,Successful Run,2021-10-13 14:41:08.675670,7.101842,146,454
salesforce_account.py,2021-10-13 14:41:09.355681,Pass,Successful Run,2021-10-13 14:41:20.212423,10.856742,48,23
salesforce_campaign.py,2021-10-13 14:41:20.239431,Pass,Successful Run,2021-10-13 14:41:24.749299,4.509868,154,24
salesforce_campaignmember.py,2021-10-13 14:41:24.900309,Pass,Successful Run,2021-10-13 14:41:52.397688,27.497379,5719,5049
salesforce_case.py,2021-10-13 14:41:52.408696,Pass,Successful Run,2021-10-13 14:42:17.443113,25.034417,6650,781
salesforce_contact.py,2021-10-13 14:42:17.447116,Pass,Successful Run,2021-10-13 14:42:52.760270,35.313154,7188,188
salesforce_event.py,2021-10-13 14:42:52.773275,Pass,Successful Run,2021-10-13 14:43:07.062951,14.289676,514,168
salesforce_lead.py,2021-10-13 14:43:07.078953,Pass,Successful Run,2021-10-13 14:43:11.544828,4.465875,414,73
salesforce_opportunity.py,2021-10-13 14:43:11.560828,Pass,Successful Run,2021-10-13 14:43:28.674437,17.113609,484,16
salesforce_recordtype.py,2021-10-13 14:43:28.698438,Pass,Successful Run,2021-10-13 14:43:32.170378,3.47194,116,0
salesforce_task.py,2021-10-13 14:43:32.184378,Pass,Successful Run,2021-10-13 14:43:49.669952,17.485574,6240,4053
salesforce_user.py,2021-10-13 14:43:49.682957,Pass,Successful Run,2021-10-13 14:46:20.982039,151.299082,126584,47
