Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-10-14 16:22:47.990106,Pass,Successful Run,2021-10-14 16:22:54.957892,6.967786,19,18
eloqua_bounceback.py,2021-10-14 16:22:54.969895,Pass,Successful Run,2021-10-14 16:23:00.080753,5.110858,0,15
eloqua_contacts.py,2021-10-14 16:23:00.094755,Pass,Successful Run,2021-10-14 16:23:09.791504,9.696749,762,203
eloqua_emailclickthrough.py,2021-10-14 16:23:09.810506,Pass,Successful Run,2021-10-14 16:23:16.867256,7.05675,126,254
eloqua_emailopen.py,2021-10-14 16:23:16.879257,Pass,Successful Run,2021-10-14 16:23:47.171395,30.292138,7287,12760
eloqua_emailsend.py,2021-10-14 16:23:47.190396,Pass,Successful Run,2021-10-14 16:24:59.466285,72.275889,24581,46100
eloqua_formsubmit.py,2021-10-14 16:24:59.484324,Pass,Successful Run,2021-10-14 16:25:09.115030,9.630706,88,156
eloqua_pageview.py,2021-10-14 16:25:09.127030,Pass,Successful Run,2021-10-14 16:25:27.456509,18.329479,728,2093
eloqua_subscribe.py,2021-10-14 16:25:27.467511,Pass,Successful Run,2021-10-14 16:25:34.359308,6.891797,125,182
eloqua_unsubscribe.py,2021-10-14 16:25:34.372315,Pass,Successful Run,2021-10-14 16:25:40.593113,6.220798,125,182
eloqua_webvisit.py,2021-10-14 16:25:40.606142,Pass,Successful Run,2021-10-14 16:25:47.916895,7.310753,262,542
salesforce_account.py,2021-10-14 16:25:48.340903,Pass,Successful Run,2021-10-14 16:25:57.402643,9.06174,273,20
salesforce_campaign.py,2021-10-14 16:25:57.413645,Pass,Successful Run,2021-10-14 16:26:02.340501,4.926856,170,33
salesforce_campaignmember.py,2021-10-14 16:26:02.356504,Pass,Successful Run,2021-10-14 16:26:24.393867,22.037363,5184,4933
salesforce_case.py,2021-10-14 16:26:24.404869,Pass,Successful Run,2021-10-14 16:26:43.696319,19.29145,6953,745
salesforce_contact.py,2021-10-14 16:26:43.707322,Pass,Successful Run,2021-10-14 16:27:11.241505,27.534183,9026,179
salesforce_event.py,2021-10-14 16:27:11.255507,Pass,Successful Run,2021-10-14 16:27:20.583250,9.327743,552,73
salesforce_lead.py,2021-10-14 16:27:20.623253,Pass,Successful Run,2021-10-14 16:27:25.009095,4.385842,387,14
salesforce_opportunity.py,2021-10-14 16:27:25.026098,Pass,Successful Run,2021-10-14 16:27:33.294870,8.268772,450,7
salesforce_recordtype.py,2021-10-14 16:27:33.306872,Pass,Successful Run,2021-10-14 16:27:37.189751,3.882879,116,0
salesforce_task.py,2021-10-14 16:27:37.199753,Pass,Successful Run,2021-10-14 16:27:55.159233,17.95948,8027,3722
salesforce_user.py,2021-10-14 16:27:55.171235,Pass,Successful Run,2021-10-14 16:30:06.562454,131.391219,126635,50
