BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-11-22 16:50:51.993814,Pass,Successful Run,2021-11-22 16:50:52.400068,0.406254,91
d_customer.py,2021-11-22 16:50:51,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-11-22 16:50:51,0,0
d_naics.py,2021-11-22 16:51:23.430434,Pass,Successful Run,2021-11-22 16:51:52.288985,28.858551,1276
d_psc.py,2021-11-22 16:51:52.288985,Pass,Successful Run,2021-11-22 16:52:31.256626,38.967641,3122
f_advantage.py,2021-11-22 16:52:31.256626,Pass,Successful Run,2021-11-22 16:52:41.537550,10.280924,3129636
f_budget_authority.py,2021-11-22 16:52:41.553175,Pass,Successful Run,2021-11-22 16:52:45.318724,3.765549,199550
f_budget_outlays.py,2021-11-22 16:52:45.318724,Pass,Successful Run,2021-11-22 16:52:46.428073,1.109349,205250
f_budget_receipts.py,2021-11-22 16:52:46.443703,Pass,Successful Run,2021-11-22 16:52:50.381088,3.937385,12600
f_campaign.py,2021-11-22 16:52:50.396710,Pass,Successful Run,2021-11-22 16:53:10.411762,20.015052,26693285
f_case.py,2021-11-22 16:53:10.411762,Pass,Successful Run,2021-11-22 16:53:21.458803,11.047041,1985543
f_ebuy.py,2021-11-22 16:53:21.474432,Pass,Successful Run,2021-11-22 16:53:29.739780,8.265348,85303
f_eloqua_emailclick.py,2021-11-22 16:53:29.755406,Pass,Successful Run,2021-11-22 16:53:38.286439,8.531033,241347
f_eloqua_emailopen.py,2021-11-22 16:53:38.302060,Pass,Successful Run,2021-11-22 16:53:46.145587,7.843527,4530782
f_eloqua_emailsend.py,2021-11-22 16:53:46.161215,Pass,Successful Run,2021-11-22 16:53:54.442231,8.281016,16900945
f_eloqua_pageview.py,2021-11-22 16:53:54.457858,Pass,Successful Run,2021-11-22 16:54:02.192011,7.734153,3131875
f_eloqua_webvisit.py,2021-11-22 16:54:02.207630,Pass,Successful Run,2021-11-22 16:54:09.082412,6.874782,1061610
f_opportunity.py,2021-11-22 16:54:09.082412,Pass,Successful Run,2021-11-22 16:54:21.332001,12.249589,38717
f_survey.py,2021-11-22 16:54:21.332001,Pass,Successful Run,2021-11-22 16:54:29.112971,7.78097,1283413
s_fpds_obligations.py,2021-11-22 16:54:29.112971,Pass,Successful Run,2021-11-22 16:55:23.486336,54.373365,6989227
